,components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency
2820,ethanol,C(C)O,121182-78-3,308.2,101.325,776.8522982456138,22.87
2847,"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,293.2,101.325,913.31,11.76
2848,"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,298.2,101.325,908.19,11.5
2849,"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,303.2,101.325,903.11,11.19
3104,formamide,C(=O)N,23296-41-5,303.2,101.325,1124.9675,106.14
3163,glycerol,OCC(O)CO,8043-29-6,303.2,101.325,1255.25,41.17
3173,heptane,CCCCCCC,142-82-5,288.2,101.325,688.1446153846155,1.94
3178,heptane,CCCCCCC,142-82-5,298.2,101.325,680.0195454545453,1.93
3183,heptane,CCCCCCC,142-82-5,308.2,101.325,671.0080909090909,1.92
3490,methanol,CO,54841-71-3,288.2,101.325,796.0156190476191,34.62
3493,methanol,CO,54841-71-3,293.2,101.325,791.2714166666666,33.6
3496,methanol,CO,54841-71-3,298.0,101.325,787.0,33.1
3497,methanol,CO,54841-71-3,298.2,101.325,787.1120800000002,32.6
3500,methanol,CO,54841-71-3,303.2,101.325,782.0237735849058,31.65
3502,methanol,CO,54841-71-3,308.2,101.325,777.0389333333335,30.72
3713,methylsulfinylmethane,C[S](=O)C,164071-41-4,293.2,101.325,1100.325,47.09
3719,methylsulfinylmethane,C[S](=O)C,164071-41-4,303.2,101.325,1090.36,45.94
3725,methylsulfinylmethane,C[S](=O)C,164071-41-4,313.2,101.325,1080.3875,44.64
3762,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,278.2,101.325,913.925,5.761
3763,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,280.6,101.325,911.466,5.705
3764,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,283.2,101.325,908.991,5.651
3765,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,285.6,101.325,906.513,5.591
3766,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,288.2,101.325,903.818,5.531
3767,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,290.6,101.325,901.556,5.468
3768,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,293.2,101.325,898.961,5.418
3769,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,295.6,101.325,896.585,5.364
3770,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,298.2,101.325,894.0975000000001,5.31
3771,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,300.6,101.325,891.605,5.264
3772,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,303.2,101.325,889.2305,5.205
3773,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,305.6,101.325,886.611,5.141
3774,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,308.2,101.325,884.3555,5.076
3775,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,310.6,101.325,881.608,5.015
3776,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,313.2,101.325,879.4735000000001,4.961
3777,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,315.6,101.325,876.582,4.901
3778,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,318.2,101.325,874.5835,4.841
3779,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,320.6,101.325,871.546,4.784
3780,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,323.2,101.325,869.019,4.725
3781,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,325.6,101.325,866.488,4.667
